Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1542,ID-1815,ID-1833,ID-1900,ID-1918,ID-1921,ID-1922,ID-1923,ID-1934,ID-1936,ID-1937,ID-1954,ID-1955,ID-1957,ID-1959,ID-1960,ID-1961,ID-1962,ID-1963,ID-1964,ID-1965,ID-1966,ID-1967,ID-1968,ID-1969,ID-1970,ID-1971,ID-1972,ID-1973,ID-1974,ID-1975,ID-1976,ID-1977,ID-1978,ID-1979,ID-1980,ID-1981,ID-1982,affiliation-1542,affiliation-1815,affiliation-1833,affiliation-1900,affiliation-1918,affiliation-1921,affiliation-1922,affiliation-1923,affiliation-1934,affiliation-1936,affiliation-1937,affiliation-1954,affiliation-1955,affiliation-1957,affiliation-1959,affiliation-1960,affiliation-1961,affiliation-1962,affiliation-1963,affiliation-1964,affiliation-1965,affiliation-1966,affiliation-1967,affiliation-1968,affiliation-1969,affiliation-1970,affiliation-1971,affiliation-1972,affiliation-1973,affiliation-1974,affiliation-1975,affiliation-1976,affiliation-1977,affiliation-1978,affiliation-1979,affiliation-1980,affiliation-1981,affiliation-1982,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1977,affiliation_id_1977,affiliation_country_1977,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1974,affiliation_id_1974,affiliation_country_1974,affiliation_display_name_1973,affiliation_id_1973,affiliation_country_1973,affiliation_display_name_1972,affiliation_id_1972,affiliation_country_1972,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_display_name_1969,affiliation_id_1969,affiliation_country_1969,affiliation_display_name_1968,affiliation_id_1968,affiliation_country_1968,affiliation_display_name_1967,affiliation_id_1967,affiliation_country_1967,affiliation_display_name_1966,affiliation_id_1966,affiliation_country_1966,affiliation_display_name_1965,affiliation_id_1965,affiliation_country_1965,affiliation_display_name_1964,affiliation_id_1964,affiliation_country_1964,affiliation_display_name_1963,affiliation_id_1963,affiliation_country_1963,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1961,affiliation_id_1961,affiliation_country_1961,affiliation_display_name_1960,affiliation_id_1960,affiliation_country_1960,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1957,affiliation_id_1957,affiliation_country_1957,affiliation_display_name_1955,affiliation_id_1955,affiliation_country_1955,affiliation_display_name_1954,affiliation_id_1954,affiliation_country_1954,affiliation_display_name_1937,affiliation_id_1937,affiliation_country_1937,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1934,affiliation_id_1934,affiliation_country_1934,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923,affiliation_display_name_1922,affiliation_id_1922,affiliation_country_1922,affiliation_display_name_1921,affiliation_id_1921,affiliation_country_1921,affiliation_display_name_1918,affiliation_id_1918,affiliation_country_1918,affiliation_display_name_1900,affiliation_id_1900,affiliation_country_1900,affiliation_display_name_1833,affiliation_id_1833,affiliation_country_1833,affiliation_display_name_1815,affiliation_id_1815,affiliation_country_1815,affiliation_display_name_1542,affiliation_id_1542,affiliation_country_1542,affiliation_data,unique_country_count,all_usa,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1983,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
Jiayi Weng,2,,https://openalex.org/A5007321875,A5007321875,https://orcid.org/0000-0003-4918-4376,Jiayi Weng,"Jiayi Weng, Weng, Jiayi",11,317,18.714285714285715,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,True,False,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2025,Xi'an Jiaotong University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,,,,https://openalex.org/I99065089,China,Tsinghua University,,,,,,,https://openalex.org/I21193070,China,Beijing Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,,,
Jie Chen,1,,https://openalex.org/A5100651443,A5100651443,https://orcid.org/0000-0003-0290-3206,Jie Chen,"Chen Jie, Chen, Jie, JIE CHEN, Jie Chen, Liu, Yutian, Yutian Liu",55,555,1.0,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,False,True,True,"China, Finland, Singapore, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,False,2025,Jilin Electric Power Research Institute (China),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I111753288,China,Fujian Normal University,https://openalex.org/I111753288,China,Fujian Normal University,https://openalex.org/I40963666,China,Central China Normal University,,,,,,,,,,https://openalex.org/I4210140386,China,PLA Navy General Hospital,,,,https://openalex.org/I98381234,Finland,University of Oulu,https://openalex.org/I4210163657,United States,Crest Middle School,https://openalex.org/I4210167254,Singapore,Singapore-MIT Alliance for Research and Technology,,,,https://openalex.org/I55769427,United States,Indiana University – Purdue University Indianapolis,https://openalex.org/I98381234,Finland,University of Oulu,https://openalex.org/I4210141849,China,"National Administration of Surveying, Mapping and Geoinformation of China",https://openalex.org/I75390827,China,Beijing University of Chemical Technology,https://openalex.org/I4210136793,China,Peng Cheng Laboratory,https://openalex.org/I4210136793,China,Peng Cheng Laboratory,https://openalex.org/I178232147,China,Guizhou University,,,,https://openalex.org/I4210136793,China,Peng Cheng Laboratory,https://openalex.org/I4210138151,China,Jilin Electric Power Research Institute (China),,,
Jie Tang,3,,https://openalex.org/A5108913576,A5108913576,,Jie Tang,"Di Li, Jie Tang, Qihong Zhang, Qiuyang Li, Tang, Jie",17,171,14.4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,False,True,True,"China, Israel, Japan, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,False,2025,Runze (China),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210167069,United States,New Horizons Diagnostics (United States),https://openalex.org/I205401836,Japan,National Institute for Materials Science,,,,https://openalex.org/I4210136868,Israel,New Technology (Israel),https://openalex.org/I91656880,China,China Medical University,https://openalex.org/I4210092002,China,Runze (China),,,
Jihan Yin,1,,https://openalex.org/A5007113351,A5007113351,,Jihan Yin,"Jihan Yin, Yin, Jihan",8,214,36.0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,True,True,"China, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2024,Meso Scale Discovery (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I4210097707,China,People’s Hospital of Rizhao,,,,https://openalex.org/I4210164526,United States,Meso Scale Discovery (United States),,,,,,
Jing Li,1,,https://openalex.org/A5100336823,A5100336823,https://orcid.org/0000-0001-9229-2263,Jing Li,"Jing LI, Jing Li, Jing, Li, LI Jing, LI Jing, Li Jing, Li, Jing, Linlin Wang, Wenzhi He, jing Li",226,6393,8.369565217391305,44,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,False,True,False,"China, Malaysia, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,False,2026,Xinjiang Technical Institute of Physics & Chemistry,China,,,,,,,,,,,,,,,,,,,https://openalex.org/I76214153,China,Lanzhou University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I41461413,Malaysia,Universiti Malaysia Sarawak,https://openalex.org/I4210119012,China,Xichang University,https://openalex.org/I4210126242,China,Shanghai Entry-Exit Inspection and Quarantine Bureau,https://openalex.org/I61057504,China,Fujian Agriculture and Forestry University,https://openalex.org/I204823248,China,Huazhong Agricultural University,https://openalex.org/I204823248,China,Huazhong Agricultural University,https://openalex.org/I24185976,China,Sichuan University,https://openalex.org/I4210125155,United Kingdom,Institute of Food Science & Technology,https://openalex.org/I204823248,China,Huazhong Agricultural University,https://openalex.org/I74525822,China,Hubei University of Technology,https://openalex.org/I204823248,China,Huazhong Agricultural University,https://openalex.org/I4210128615,China,Chinese Academy of Forestry,https://openalex.org/I89652312,China,Northwest A&F University,https://openalex.org/I89652312,China,Northwest A&F University,https://openalex.org/I89652312,China,Northwest A&F University,https://openalex.org/I89652312,China,Northwest A&F University,https://openalex.org/I89652312,China,Northwest A&F University,https://openalex.org/I61057504,China,Fujian Agriculture and Forestry University,https://openalex.org/I4210153580,China,"Institute of Forest Ecology, Environment and Protection",https://openalex.org/I4210106108,China,Xinjiang Technical Institute of Physics & Chemistry
Jingjing Jiao,1,,https://openalex.org/A5088113720,A5088113720,,Jingjing Jiao,"J. B. Jiao, J. B. Jiao, Ji-cheng Jiao, Jiang, Y., Jiao, J. B., Jiao, Jia-Geng, Jiao, Jingjing, Jiao, Joy, Jing-Jing Jiao, Jingjing Jiao",95,2719,7.448275862068965,30,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,False,True,True,"China, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,Northeastern University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210118245,China,Shandong Iron and Steel Group (China),https://openalex.org/I154099455,China,Shandong University,https://openalex.org/I154099455,China,Shandong University,https://openalex.org/I154099455,China,Shandong University,https://openalex.org/I154099455,China,Shandong University,https://openalex.org/I154099455,China,Shandong University,https://openalex.org/I4210119757,China,Jinhua Academy of Agricultural Sciences,https://openalex.org/I4210119757,China,Jinhua Academy of Agricultural Sciences,https://openalex.org/I183067930,China,Shanghai Jiao Tong University,https://openalex.org/I21945476,China,Shanghai Normal University,https://openalex.org/I196934937,China,Liaocheng University,https://openalex.org/I4210090800,United States,Sensors (United States),https://openalex.org/I21945476,China,Shanghai Normal University,https://openalex.org/I75390827,China,Beijing University of Chemical Technology,https://openalex.org/I9224756,China,Northeastern University,https://openalex.org/I9224756,China,Northeastern University,,,
Joanne Jang,2,,https://openalex.org/A5003577867,A5003577867,https://orcid.org/0000-0001-7819-5192,Joanne Jang,"J. Jang, J.W. Jang, Jang, Joanne, Jihye Jang, Jina Jang, Joanne Jang, Joanne W. Jang, Joanne Wei-un Jang",51,736,7.214285714285714,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,False,False,True,"Denmark, South Korea, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,False,2025,The Catholic University of Korea Seoul St. Mary's Hospital,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I79576946,United States,University of Pennsylvania,,,,https://openalex.org/I79576946,United States,University of Pennsylvania,,,,https://openalex.org/I79576946,United States,University of Pennsylvania,https://openalex.org/I87111246,South Korea,Catholic University of Korea,https://openalex.org/I87111246,South Korea,Catholic University of Korea,https://openalex.org/I1283280774,United States,Brigham and Women's Hospital,https://openalex.org/I79576946,United States,University of Pennsylvania,https://openalex.org/I48633490,United States,Mass General Brigham,https://openalex.org/I1316535847,United States,Beth Israel Deaconess Medical Center,,,,,,,https://openalex.org/I4210087915,United States,Massachusetts General Hospital,https://openalex.org/I4210165112,Denmark,Leo Pharma (Denmark),https://openalex.org/I1316535847,United States,Beth Israel Deaconess Medical Center,https://openalex.org/I136199984,United States,Harvard University,https://openalex.org/I1316535847,United States,Beth Israel Deaconess Medical Center,https://openalex.org/I1316535847,United States,Beth Israel Deaconess Medical Center,https://openalex.org/I136199984,United States,Harvard University,https://openalex.org/I136199984,United States,Harvard University,https://openalex.org/I4210160144,South Korea,The Catholic University of Korea Seoul St. Mary's Hospital,,,
Joaquin Quiñonero Candela,2,,https://openalex.org/A5114628377,A5114628377,,Joaquin Quiñonero Candela,"Candela, Joaquin Quinonero, Candela, Joaquin Quiñonero, Joaquin Quiñonero Candela",2,128,64.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Beutler,1,,https://openalex.org/A5114628378,A5114628378,,Joe Beutler,"Beutler, Joe, Joe Beutler",1,95,95.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Landers,1,,https://openalex.org/A5114628379,A5114628379,,Joe Landers,"Joe Landers, Landers, Joe",1,95,95.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Palermo,1,,https://openalex.org/A5115637732,A5115637732,,Joe Palermo,"Joe Palermo, Palermo, Joe",1,33,33.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Morris,1,,https://openalex.org/A5122363601,A5122363601,,Joel Morris,"Joel Morris, Morris, Joel",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Flynn,1,,https://openalex.org/A5122328890,A5122328890,,Joey Flynn,"Flynn, Joey, Joey Flynn",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johannes Heidecke,3,,https://openalex.org/A5062062874,A5062062874,,Johannes Heidecke,"Heidecke, Johannes, Johannes Heidecke, Wang, Jeffrey",4,242,31.666666666666668,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johannes O. Ferstad,1,,https://openalex.org/A5055643694,A5055643694,https://orcid.org/0000-0001-5495-9151,Johannes O. Ferstad,"Bryan Bunning, Carlos Guestrin, Ferstad, Johannes, Ferstad, Johannes O., JOHANNES FERSTAD, Johannes Ferstad, Johannes O Ferstad, Johannes O. Ferstad, Johannes Opsahl Ferstad",22,181,4.416666666666667,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,True,2025,Stanford University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,,,,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,,,
